number_sta,date,precip
14066001,2018-11-29,0.8
14066001,2018-11-30,0.6000000000000001
14066001,2018-12-01,2.2
14066001,2018-12-02,3.2
14066001,2018-12-03,2.8000000000000003
14066001,2018-12-04,2.0
14066001,2018-12-05,2.6
14066001,2018-12-06,0.2
14066001,2018-12-07,6.8
14066001,2018-12-08,3.8
14066001,2018-12-09,3.6
14066001,2018-12-10,3.6
14066001,2018-12-11,0.2
14066001,2018-12-12,0.0
14066001,2018-12-13,0.0
14066001,2018-12-14,0.0
14066001,2018-12-15,0.4
14066001,2018-12-16,2.2
14066001,2018-12-17,0.0
14066001,2018-12-18,2.0
14066001,2018-12-19,0.0
14066001,2018-12-20,0.0
14066001,2018-12-21,4.6000000000000005
14066001,2018-12-22,0.0
14066001,2018-12-23,5.4
14066001,2018-12-24,3.0
14066001,2018-12-25,0.0
14066001,2018-12-26,0.0
14066001,2018-12-27,0.0
14066001,2018-12-28,0.2
14066001,2018-12-29,0.2
14066001,2018-12-30,0.4
14066001,2018-12-31,0.6000000000000001
14126001,2018-01-01,2.5
14126001,2018-01-02,0.0
14126001,2018-01-03,4.0
14126001,2018-01-04,5.5
14126001,2018-01-05,1.5
14126001,2018-01-06,0.0
14126001,2018-01-07,0.0
14126001,2018-01-08,0.0
14126001,2018-01-09,4.5
14126001,2018-01-10,0.5
14126001,2018-01-11,0.0
14126001,2018-01-12,0.0
14126001,2018-01-13,0.0
14126001,2018-01-14,0.0
14126001,2018-01-15,3.0
14126001,2018-01-16,3.5
14126001,2018-01-17,0.5
14126001,2018-01-18,2.0
14126001,2018-01-19,6.5
14126001,2018-01-20,14.0
14126001,2018-01-21,5.0
14126001,2018-01-22,5.5
14126001,2018-01-23,0.5
14126001,2018-01-24,2.0
14126001,2018-01-25,0.0
14126001,2018-01-26,0.0
14126001,2018-01-27,0.5
14126001,2018-01-28,0.0
14126001,2018-01-29,0.5
14126001,2018-01-30,1.0
14126001,2018-01-31,7.5
14126001,2018-02-01,2.0
14126001,2018-02-02,0.5
14126001,2018-02-03,3.0
14126001,2018-02-04,0.0
14126001,2018-02-05,0.0
14126001,2018-02-06,0.0
14126001,2018-02-07,0.5
14126001,2018-02-08,0.5
14126001,2018-02-09,6.5
14126001,2018-02-10,1.0
14126001,2018-02-11,2.5
14126001,2018-02-12,3.0
14126001,2018-02-13,3.5
14126001,2018-02-14,2.5
14126001,2018-02-15,0.0
14126001,2018-02-16,0.5
14126001,2018-02-17,0.0
14126001,2018-02-18,0.0
14126001,2018-02-19,4.5
14126001,2018-02-20,1.5
14126001,2018-02-21,0.0
14126001,2018-02-22,0.0
14126001,2018-02-23,0.0
14126001,2018-02-24,0.0
14126001,2018-02-25,0.0
14126001,2018-02-26,0.0
14126001,2018-02-27,0.0
14126001,2018-02-28,0.0
14126001,2018-03-01,0.0
14126001,2018-03-02,1.0
14126001,2018-03-03,0.0
14126001,2018-03-04,2.0
14126001,2018-03-05,0.5
14126001,2018-03-06,5.0
14126001,2018-03-07,9.0
14126001,2018-03-08,2.0
14126001,2018-03-09,1.5
14126001,2018-03-10,3.5
14126001,2018-03-11,1.0
14126001,2018-03-12,1.0
14126001,2018-03-13,2.5
14126001,2018-03-14,0.5
14126001,2018-03-15,1.5
14126001,2018-03-16,1.0
14126001,2018-03-17,1.0
14126001,2018-03-18,0.0
14126001,2018-03-19,0.0
14126001,2018-03-20,0.5
14126001,2018-03-21,0.0
14126001,2018-03-22,0.0
14126001,2018-03-23,0.0
14126001,2018-03-24,0.0
14126001,2018-03-25,1.0
14126001,2018-03-26,0.0
14126001,2018-03-27,4.0
14126001,2018-03-28,7.5
14126001,2018-03-29,1.0
14126001,2018-03-30,5.5
14126001,2018-03-31,1.5
14126001,2018-04-01,3.0
14126001,2018-04-02,1.5
14126001,2018-04-03,0.0
14126001,2018-04-04,1.5
14126001,2018-04-05,0.0
14126001,2018-04-06,0.0
14126001,2018-04-07,8.0
14126001,2018-04-08,4.0
14126001,2018-04-09,2.5
14126001,2018-04-10,3.5
14126001,2018-04-11,0.5
14126001,2018-04-12,0.0
14126001,2018-04-13,0.0
14126001,2018-04-14,3.0
14126001,2018-04-15,0.5
14126001,2018-04-16,0.0
14126001,2018-04-17,0.0
14126001,2018-04-18,0.0
14126001,2018-04-19,0.0
14126001,2018-04-20,0.0
14126001,2018-04-21,2.0
14126001,2018-04-22,0.5
14126001,2018-04-23,0.0
14126001,2018-04-24,0.0
14126001,2018-04-25,2.5
14126001,2018-04-26,0.5
14126001,2018-04-27,0.0
14126001,2018-04-28,0.0
14126001,2018-04-29,11.0
14126001,2018-04-30,43.0
14126001,2018-05-01,0.0
14126001,2018-05-02,4.5
14126001,2018-05-03,0.0
14126001,2018-05-04,0.0
14126001,2018-05-05,0.0
14126001,2018-05-06,0.0
14126001,2018-05-07,0.5
14126001,2018-05-08,0.0
14126001,2018-05-09,0.0
14126001,2018-05-10,0.0
