number_sta,date,ff
14066001,2018-11-16,2.5633333333333335
14066001,2018-11-17,3.9566666666666666
14066001,2018-11-18,5.52625
14066001,2018-11-19,7.940833333333333
14066001,2018-11-20,4.2675
14066001,2018-11-21,2.6454166666666667
14066001,2018-11-22,2.33
14066001,2018-11-23,2.521666666666667
14066001,2018-11-24,2.4545833333333333
14066001,2018-11-25,4.9695833333333335
14066001,2018-11-26,4.73
14066001,2018-11-27,3.9108333333333336
14066001,2018-11-28,7.1883333333333335
14066001,2018-11-29,6.314166666666667
14066001,2018-11-30,5.3375
14066001,2018-12-01,5.3516666666666675
14066001,2018-12-02,6.654583333333333
14066001,2018-12-03,7.1379166666666665
14066001,2018-12-04,2.5358333333333336
14066001,2018-12-05,3.7933333333333334
14066001,2018-12-06,5.0825
14066001,2018-12-07,8.244166666666667
14066001,2018-12-08,9.214583333333334
14066001,2018-12-09,9.645416666666668
14066001,2018-12-10,5.38
14066001,2018-12-11,1.9766666666666666
14066001,2018-12-12,3.202916666666667
14066001,2018-12-13,4.455416666666666
14066001,2018-12-14,2.005
14066001,2018-12-15,5.0275
14066001,2018-12-16,4.3029166666666665
14066001,2018-12-17,4.24125
14066001,2018-12-18,4.88
14066001,2018-12-19,4.20875
14066001,2018-12-20,6.4191666666666665
14066001,2018-12-21,9.252916666666666
14066001,2018-12-22,5.8100000000000005
14066001,2018-12-23,6.515416666666667
14066001,2018-12-24,3.4404166666666667
14066001,2018-12-25,2.4516666666666667
14066001,2018-12-26,1.5766666666666667
14066001,2018-12-27,1.9716666666666667
14066001,2018-12-28,1.9345833333333333
14066001,2018-12-29,3.797083333333333
14066001,2018-12-30,2.805
14066001,2018-12-31,1.9620833333333332
14126001,2018-01-01,
14126001,2018-01-02,
14126001,2018-01-03,
14126001,2018-01-04,
14126001,2018-01-05,
14126001,2018-01-06,
14126001,2018-01-07,
14126001,2018-01-08,
14126001,2018-01-09,
14126001,2018-01-10,
14126001,2018-01-11,
14126001,2018-01-12,
14126001,2018-01-13,
14126001,2018-01-14,
14126001,2018-01-15,
14126001,2018-01-16,
14126001,2018-01-17,
14126001,2018-01-18,
14126001,2018-01-19,
14126001,2018-01-20,
14126001,2018-01-21,
14126001,2018-01-22,
14126001,2018-01-23,
14126001,2018-01-24,
14126001,2018-01-25,
14126001,2018-01-26,
14126001,2018-01-27,
14126001,2018-01-28,
14126001,2018-01-29,
14126001,2018-01-30,
14126001,2018-01-31,
14126001,2018-02-01,
14126001,2018-02-02,
14126001,2018-02-03,
14126001,2018-02-04,
14126001,2018-02-05,
14126001,2018-02-06,
14126001,2018-02-07,
14126001,2018-02-08,
14126001,2018-02-09,
14126001,2018-02-10,
14126001,2018-02-11,
14126001,2018-02-12,
14126001,2018-02-13,
14126001,2018-02-14,
14126001,2018-02-15,
14126001,2018-02-16,
14126001,2018-02-17,
14126001,2018-02-18,
14126001,2018-02-19,
14126001,2018-02-20,
14126001,2018-02-21,
14126001,2018-02-22,
14126001,2018-02-23,
14126001,2018-02-24,
14126001,2018-02-25,
14126001,2018-02-26,
14126001,2018-02-27,
14126001,2018-02-28,
14126001,2018-03-01,
14126001,2018-03-02,
14126001,2018-03-03,
14126001,2018-03-04,
14126001,2018-03-05,
14126001,2018-03-06,
14126001,2018-03-07,
14126001,2018-03-08,
14126001,2018-03-09,
14126001,2018-03-10,
14126001,2018-03-11,
14126001,2018-03-12,
14126001,2018-03-13,
14126001,2018-03-14,
14126001,2018-03-15,
14126001,2018-03-16,
14126001,2018-03-17,
14126001,2018-03-18,
14126001,2018-03-19,
14126001,2018-03-20,
14126001,2018-03-21,
14126001,2018-03-22,
14126001,2018-03-23,
14126001,2018-03-24,
14126001,2018-03-25,
14126001,2018-03-26,
14126001,2018-03-27,
14126001,2018-03-28,
14126001,2018-03-29,
14126001,2018-03-30,
14126001,2018-03-31,
14126001,2018-04-01,
14126001,2018-04-02,
14126001,2018-04-03,
14126001,2018-04-04,
14126001,2018-04-05,
14126001,2018-04-06,
14126001,2018-04-07,
14126001,2018-04-08,
14126001,2018-04-09,
14126001,2018-04-10,
14126001,2018-04-11,
14126001,2018-04-12,
14126001,2018-04-13,
14126001,2018-04-14,
14126001,2018-04-15,
14126001,2018-04-16,
14126001,2018-04-17,
14126001,2018-04-18,
14126001,2018-04-19,
14126001,2018-04-20,
14126001,2018-04-21,
14126001,2018-04-22,
14126001,2018-04-23,
14126001,2018-04-24,
14126001,2018-04-25,
14126001,2018-04-26,
14126001,2018-04-27,
14126001,2018-04-28,
14126001,2018-04-29,
14126001,2018-04-30,
14126001,2018-05-01,
14126001,2018-05-02,
14126001,2018-05-03,
14126001,2018-05-04,
14126001,2018-05-05,
14126001,2018-05-06,
14126001,2018-05-07,
14126001,2018-05-08,
14126001,2018-05-09,
14126001,2018-05-10,
14126001,2018-05-11,
14126001,2018-05-12,
14126001,2018-05-13,
14126001,2018-05-14,
14126001,2018-05-15,
14126001,2018-05-16,
14126001,2018-05-17,
14126001,2018-05-18,
14126001,2018-05-19,
14126001,2018-05-20,
14126001,2018-05-21,
14126001,2018-05-22,
14126001,2018-05-23,
14126001,2018-05-24,
14126001,2018-05-25,
14126001,2018-05-26,
14126001,2018-05-27,
14126001,2018-05-28,
14126001,2018-05-29,
14126001,2018-05-30,
14126001,2018-05-31,
14126001,2018-06-01,
14126001,2018-06-02,
14126001,2018-06-03,
14126001,2018-06-04,
14126001,2018-06-11,
14126001,2018-06-12,
14126001,2018-06-13,
14126001,2018-06-14,
14126001,2018-06-15,
14126001,2018-06-16,
14126001,2018-06-17,
14126001,2018-06-18,
14126001,2018-06-19,
14126001,2018-06-20,
14126001,2018-06-21,
14126001,2018-06-22,
14126001,2018-06-23,
14126001,2018-06-24,
14126001,2018-06-25,
14126001,2018-06-26,
14126001,2018-06-27,
14126001,2018-06-28,
14126001,2018-06-29,
14126001,2018-06-30,
14126001,2018-07-01,
14126001,2018-07-02,
14126001,2018-07-03,
14126001,2018-07-04,
14126001,2018-07-05,
14126001,2018-07-06,
14126001,2018-07-07,
14126001,2018-07-08,
14126001,2018-07-09,
14126001,2018-07-10,
14126001,2018-07-11,
14126001,2018-07-12,
14126001,2018-07-13,
14126001,2018-07-14,
14126001,2018-07-15,
14126001,2018-07-16,
14126001,2018-07-17,
14126001,2018-07-18,
14126001,2018-07-19,
14126001,2018-07-20,
14126001,2018-07-21,
14126001,2018-07-22,
14126001,2018-07-23,
14126001,2018-07-24,
14126001,2018-07-25,
14126001,2018-07-26,
14126001,2018-07-27,
14126001,2018-07-28,
14126001,2018-07-29,
14126001,2018-07-30,
14126001,2018-07-31,
14126001,2018-08-01,
14126001,2018-08-02,
14126001,2018-08-03,
14126001,2018-08-04,
14126001,2018-08-05,
14126001,2018-08-06,
14126001,2018-08-07,
14126001,2018-08-08,
14126001,2018-08-09,
14126001,2018-08-10,
14126001,2018-08-11,
14126001,2018-08-12,
14126001,2018-08-13,
14126001,2018-08-14,
14126001,2018-08-15,
14126001,2018-08-16,
14126001,2018-08-17,
14126001,2018-08-18,
14126001,2018-08-19,
14126001,2018-08-20,
14126001,2018-08-21,
14126001,2018-08-22,
14126001,2018-08-23,
14126001,2018-08-24,
14126001,2018-08-25,
14126001,2018-08-26,
14126001,2018-08-27,
14126001,2018-08-28,
14126001,2018-08-29,
14126001,2018-08-30,
14126001,2018-08-31,
14126001,2018-09-01,
14126001,2018-09-02,
14126001,2018-09-03,
14126001,2018-09-04,
14126001,2018-09-05,
14126001,2018-09-06,
14126001,2018-09-07,
14126001,2018-09-08,
14126001,2018-09-09,
14126001,2018-09-10,
14126001,2018-09-11,
14126001,2018-09-12,
14126001,2018-09-13,
14126001,2018-09-14,
14126001,2018-09-15,
14126001,2018-09-16,
14126001,2018-09-17,
14126001,2018-09-18,
14126001,2018-09-19,
14126001,2018-09-20,
14126001,2018-09-21,
14126001,2018-09-22,
14126001,2018-09-23,
14126001,2018-09-24,
14126001,2018-09-25,
14126001,2018-09-26,
14126001,2018-09-27,
14126001,2018-09-28,
14126001,2018-09-29,
14126001,2018-09-30,
14126001,2018-10-01,
14126001,2018-10-02,
14126001,2018-10-03,
14126001,2018-10-04,
14126001,2018-10-05,
14126001,2018-10-06,
14126001,2018-10-07,
14126001,2018-10-08,
14126001,2018-10-09,
14126001,2018-10-10,
14126001,2018-10-11,
14126001,2018-10-12,
14126001,2018-10-13,
14126001,2018-10-14,
14126001,2018-10-15,
14126001,2018-10-16,
14126001,2018-10-17,
14126001,2018-10-18,
14126001,2018-10-19,
14126001,2018-10-20,
14126001,2018-10-21,
14126001,2018-10-22,
14126001,2018-10-23,
14126001,2018-10-24,
14126001,2018-10-25,
14126001,2018-10-26,
14126001,2018-10-27,
14126001,2018-10-28,
14126001,2018-10-29,
14126001,2018-10-30,
14126001,2018-10-31,
14126001,2018-11-01,
14126001,2018-11-02,
14126001,2018-11-03,
14126001,2018-11-04,
14126001,2018-11-05,
14126001,2018-11-06,
14126001,2018-11-07,
14126001,2018-11-08,
14126001,2018-11-09,
14126001,2018-11-10,
14126001,2018-11-11,
14126001,2018-11-12,
14126001,2018-11-13,
14126001,2018-11-14,
14126001,2018-11-15,
14126001,2018-11-16,
14126001,2018-11-17,
14126001,2018-11-18,
14126001,2018-11-19,
14126001,2018-11-20,
14126001,2018-11-21,
14126001,2018-11-22,
14126001,2018-11-23,
14126001,2018-11-24,
14126001,2018-11-25,
14126001,2018-11-26,
14126001,2018-11-27,
14126001,2018-11-28,
14126001,2018-11-29,
14126001,2018-11-30,
14126001,2018-12-01,
14126001,2018-12-02,
14126001,2018-12-03,
14126001,2018-12-04,
14126001,2018-12-05,
14126001,2018-12-06,
14126001,2018-12-07,
14126001,2018-12-08,
14126001,2018-12-09,
14126001,2018-12-10,
14126001,2018-12-11,
14126001,2018-12-12,
14126001,2018-12-13,
14126001,2018-12-14,
14126001,2018-12-15,
14126001,2018-12-16,
14126001,2018-12-17,
14126001,2018-12-18,
14126001,2018-12-19,
14126001,2018-12-20,
14126001,2018-12-21,
14126001,2018-12-22,
14126001,2018-12-23,
14126001,2018-12-24,
14126001,2018-12-25,
14126001,2018-12-26,
14126001,2018-12-27,
14126001,2018-12-28,
14126001,2018-12-29,
14126001,2018-12-30,
14126001,2018-12-31,
14137001,2018-01-01,9.130416666666667
14137001,2018-01-02,6.903333333333333
14137001,2018-01-03,10.901250000000001
14137001,2018-01-04,9.48125
14137001,2018-01-05,5.547083333333333
14137001,2018-01-06,2.11875
14137001,2018-01-07,6.215416666666667
14137001,2018-01-08,4.122083333333333
14137001,2018-01-09,3.5404166666666668
14137001,2018-01-10,3.3745833333333333
14137001,2018-01-11,1.68
14137001,2018-01-12,3.22875
14137001,2018-01-13,5.392083333333333
14137001,2018-01-14,2.1429166666666664
14137001,2018-01-15,8.5744769874477
14137001,2018-01-16,9.44375
14137001,2018-01-17,7.764583333333333
14137001,2018-01-18,9.95
14137001,2018-01-19,5.347083333333333
14137001,2018-01-20,8.2375
14137001,2018-01-21,5.910416666666666
14137001,2018-01-22,6.514166666666667
14137001,2018-01-23,5.730416666666667
14137001,2018-01-24,8.053333333333333
14137001,2018-01-25,3.825
14137001,2018-01-26,3.4566666666666666
14137001,2018-01-27,4.669583333333334
14137001,2018-01-28,5.170833333333333
14137001,2018-01-29,5.6795833333333325
14137001,2018-01-30,2.9629166666666666
14137001,2018-01-31,7.395416666666667
14137001,2018-02-01,5.619166666666667
14137001,2018-02-02,4.482916666666667
14137001,2018-02-03,3.0941666666666667
14137001,2018-02-04,5.2370833333333335
14137001,2018-02-05,3.222083333333333
14137001,2018-02-06,3.7975
14137001,2018-02-07,3.08625
14137001,2018-02-08,3.4033333333333333
14137001,2018-02-09,7.140416666666667
14137001,2018-02-10,5.872916666666667
14137001,2018-02-11,6.500416666666666
14137001,2018-02-12,4.4783333333333335
14137001,2018-02-13,7.264583333333333
14137001,2018-02-14,6.605
14137001,2018-02-15,4.160416666666666
14137001,2018-02-16,2.7570833333333336
14137001,2018-02-17,2.0370833333333334
14137001,2018-02-18,3.646666666666667
14137001,2018-02-19,3.5079166666666666
14137001,2018-02-20,6.287916666666666
14137001,2018-02-21,3.902083333333333
14137001,2018-02-22,3.59125
14137001,2018-02-23,3.5925000000000002
14137001,2018-02-24,3.612083333333333
14137001,2018-02-25,4.467083333333333
14137001,2018-02-26,5.98375
14137001,2018-02-27,4.63875
14137001,2018-02-28,6.41125
14137001,2018-03-01,6.557916666666667
14137001,2018-03-02,5.894583333333333
14137001,2018-03-03,5.492500000000001
14137001,2018-03-04,3.89375
14137001,2018-03-05,5.1570833333333335
14137001,2018-03-06,3.3975
14137001,2018-03-07,5.52625
14137001,2018-03-08,5.579583333333333
14137001,2018-03-09,4.565833333333333
