number_sta,date,dd
14066001,2018-11-07,189.45833333333334
14066001,2018-11-08,153.20833333333334
14066001,2018-11-09,174.29166666666666
14066001,2018-11-10,188.0
14066001,2018-11-11,192.125
14066001,2018-11-12,180.25
14066001,2018-11-13,205.125
14066001,2018-11-14,152.08333333333334
14066001,2018-11-15,141.625
14066001,2018-11-16,125.83333333333333
14066001,2018-11-17,107.83333333333333
14066001,2018-11-18,89.0
14066001,2018-11-19,76.125
14066001,2018-11-20,115.75
14066001,2018-11-21,147.25
14066001,2018-11-22,123.20833333333333
14066001,2018-11-23,122.5
14066001,2018-11-24,179.5
14066001,2018-11-25,78.16666666666667
14066001,2018-11-26,189.79166666666666
14066001,2018-11-27,182.125
14066001,2018-11-28,199.95833333333334
14066001,2018-11-29,196.91666666666666
14066001,2018-11-30,214.875
14066001,2018-12-01,194.45833333333334
14066001,2018-12-02,234.95833333333334
14066001,2018-12-03,244.83333333333334
14066001,2018-12-04,158.41666666666666
14066001,2018-12-05,191.75
14066001,2018-12-06,236.29166666666666
14066001,2018-12-07,236.08333333333334
14066001,2018-12-08,247.875
14066001,2018-12-09,275.2916666666667
14066001,2018-12-10,287.2083333333333
14066001,2018-12-11,160.04166666666666
14066001,2018-12-12,125.41666666666667
14066001,2018-12-13,109.08333333333333
14066001,2018-12-14,130.375
14066001,2018-12-15,160.33333333333334
14066001,2018-12-16,196.29166666666666
14066001,2018-12-17,198.66666666666666
14066001,2018-12-18,170.83333333333334
14066001,2018-12-19,195.58333333333334
14066001,2018-12-20,212.625
14066001,2018-12-21,239.91666666666666
14066001,2018-12-22,241.29166666666666
14066001,2018-12-23,226.41666666666666
14066001,2018-12-24,109.0
14066001,2018-12-25,143.45833333333334
14066001,2018-12-26,122.41666666666667
14066001,2018-12-27,196.66666666666666
14066001,2018-12-28,213.33333333333334
14066001,2018-12-29,235.33333333333334
14066001,2018-12-30,270.2916666666667
14066001,2018-12-31,262.5416666666667
14126001,2018-01-01,
14126001,2018-01-02,
14126001,2018-01-03,
14126001,2018-01-04,
14126001,2018-01-05,
14126001,2018-01-06,
14126001,2018-01-07,
14126001,2018-01-08,
14126001,2018-01-09,
14126001,2018-01-10,
14126001,2018-01-11,
14126001,2018-01-12,
14126001,2018-01-13,
14126001,2018-01-14,
14126001,2018-01-15,
14126001,2018-01-16,
14126001,2018-01-17,
14126001,2018-01-18,
14126001,2018-01-19,
14126001,2018-01-20,
14126001,2018-01-21,
14126001,2018-01-22,
14126001,2018-01-23,
14126001,2018-01-24,
14126001,2018-01-25,
14126001,2018-01-26,
14126001,2018-01-27,
14126001,2018-01-28,
14126001,2018-01-29,
14126001,2018-01-30,
14126001,2018-01-31,
14126001,2018-02-01,
