date,number_sta,precip
2022-05-22,80001001,15.5
2022-05-22,80182003,15.5
2022-05-22,80606002,15.5
2022-05-22,85060002,15.5
2022-05-22,85092004,15.4
2022-05-22,85097001,15.5
2022-05-22,85104001,15.5
2022-05-22,85113001,15.4
2022-05-22,85152001,15.5
2022-05-22,85153002,15.5
2022-05-22,85163001,15.5
2022-05-22,85169002,15.5
2022-05-22,85172001,15.5
2022-05-22,85182004,15.4
2022-05-22,85191003,15.5
2022-05-22,85215002,15.5
2022-05-22,85216001,15.5
2022-05-22,86009001,13.8
2022-05-22,86021002,15.4
2022-05-22,86027001,14.7
2022-05-22,86039001,14.7
2022-05-22,86097001,15.1
2022-05-22,86137003,15.3
2022-05-22,86165005,15.3
2022-05-22,86272002,14.9
2022-05-22,91200002,13.3
2022-05-22,95690001,15.5
2022-05-23,14066001,15.6
2022-05-23,14126001,15.6
2022-05-23,14137001,15.6
2022-05-23,14216001,15.6
2022-05-23,14296001,15.6
2022-05-23,14357002,15.6
2022-05-23,14366002,15.6
2022-05-23,14372001,15.6
2022-05-23,14501002,15.6
2022-05-23,14577003,15.6
2022-05-23,14578001,15.6
2022-05-23,14624001,15.6
2022-05-23,14659001,15.6
2022-05-23,14762004,15.6
2022-05-23,17218001,14.6
2022-05-23,22005003,15.6
2022-05-23,22092001,15.6
2022-05-23,22108001,15.6
2022-05-23,22113006,15.5
2022-05-23,22147006,15.6
2022-05-23,22168001,15.6
2022-05-23,22219003,15.6
2022-05-23,22247002,15.6
2022-05-23,22261002,15.6
2022-05-23,22266001,15.6
2022-05-23,22282001,15.6
2022-05-23,22372001,15.6
2022-05-23,23089001,15.6
2022-05-23,27056003,15.6
2022-05-23,27100001,15.6
2022-05-23,27347001,15.6
2022-05-23,27422001,15.6
2022-05-23,28002001,15.6
2022-05-23,28041001,15.6
2022-05-23,28064002,15.5
2022-05-23,28070001,15.6
2022-05-23,28078001,15.6
2022-05-23,28190001,15.0
2022-05-23,28196003,15.6
2022-05-23,28198001,15.6
2022-05-23,28206001,15.6
2022-05-23,28214003,15.6
2022-05-23,28215001,15.6
2022-05-23,28239002,15.6
2022-05-23,28252002,15.6
2022-05-23,28305001,15.6
2022-05-23,28380003,15.6
2022-05-23,28406001,15.6
2022-05-23,28407001,15.6
2022-05-23,29075001,15.5
2022-05-23,29113001,15.6
2022-05-23,29120001,15.6
2022-05-23,29151004,15.5
2022-05-23,29155005,15.6
2022-05-23,29155008,15.6
2022-05-23,29163003,15.6
2022-05-23,29178001,15.6
2022-05-23,29214001,15.6
2022-05-23,29216001,15.6
2022-05-23,29249002,15.6
2022-05-23,29263002,15.6
2022-05-23,29264001,15.6
2022-05-23,29276001,15.6
2022-05-23,29277001,15.6
2022-05-23,29293001,15.6
2022-05-23,35005001,14.4
2022-05-23,35057003,15.6
2022-05-23,35110003,15.6
2022-05-23,35162003,15.6
2022-05-23,35202001,15.4
2022-05-23,35228001,15.5
2022-05-23,35238003,15.6
2022-05-23,35281001,15.6
2022-05-23,36006004,13.1
2022-05-23,36018004,12.3
2022-05-23,36035002,14.8
2022-05-23,36037001,12.9
2022-05-23,36063001,15.5
2022-05-23,36085001,13.3
2022-05-23,36088004,12.9
2022-05-23,36089003,13.9
2022-05-23,36093002,13.0
2022-05-23,36107001,12.2
2022-05-23,36127002,15.5
2022-05-23,36128001,13.0
2022-05-23,36136001,10.3
2022-05-23,36146001,10.4
2022-05-23,36173002,15.6
2022-05-23,36219001,13.1
2022-05-23,37003004,15.6
2022-05-23,37023002,15.6
2022-05-23,37055002,14.7
2022-05-23,37067003,15.3
2022-05-23,37072002,15.2
2022-05-23,37107001,15.1
2022-05-23,37109001,15.6
2022-05-23,37122003,15.6
2022-05-23,37129002,10.1
2022-05-23,37179001,15.6
2022-05-23,37192001,14.5
2022-05-23,37213003,15.6
2022-05-23,37213004,15.6
2022-05-23,37216002,15.6
2022-05-23,37240001,15.6
2022-05-23,37242002,15.6
2022-05-23,37249001,15.5
2022-05-23,37253001,15.3
2022-05-23,41053001,14.8
2022-05-23,41097001,2.5
2022-05-23,41152001,14.8
2022-05-23,41173003,15.5
2022-05-23,41281001,15.6
2022-05-23,44020001,15.6
2022-05-23,44069002,15.3
2022-05-23,44103001,15.6
2022-05-23,44110002,15.6
2022-05-23,44117002,15.6
2022-05-23,44181001,15.6
2022-05-23,45055001,15.3
2022-05-23,49008001,15.6
2022-05-23,49020001,14.6
2022-05-23,49099003,15.1
2022-05-23,49138001,13.5
2022-05-23,49173001,14.4
2022-05-23,49188001,14.7
2022-05-23,49191001,15.4
2022-05-23,49248003,15.2
2022-05-23,49331003,15.0
2022-05-23,50020001,12.5
2022-05-23,50111001,15.6
2022-05-23,50209001,15.6
2022-05-23,50215002,15.6
2022-05-23,50277001,15.6
2022-05-23,50410003,15.6
2022-05-23,50484002,15.6
2022-05-23,50509002,15.6
2022-05-23,50514001,15.6
2022-05-23,50615001,15.5
2022-05-23,53083001,15.6
2022-05-23,53096004,15.6
2022-05-23,53110002,15.5
2022-05-23,53116003,15.6
2022-05-23,53130008,15.6
2022-05-23,53159002,15.5
2022-05-23,53185001,15.6
2022-05-23,56004001,15.6
2022-05-23,56007001,15.6
2022-05-23,56009001,15.6
2022-05-23,56017003,15.6
2022-05-23,56069001,15.6
2022-05-23,56127001,15.6
2022-05-23,56137001,15.6
2022-05-23,56151001,15.6
2022-05-23,56159001,15.6
2022-05-23,56165003,15.6
2022-05-23,56166005,15.6
2022-05-23,56185001,15.5
2022-05-23,56240003,15.6
2022-05-23,56243001,15.6
2022-05-23,60322001,15.6
2022-05-23,60566001,15.6
2022-05-23,61001001,15.6
2022-05-23,61006005,15.6
2022-05-23,61169003,15.6
2022-05-23,61179001,15.6
2022-05-23,61214002,15.6
2022-05-23,61275001,15.6
2022-05-23,61387001,15.6
2022-05-23,61404001,15.6
2022-05-23,61426001,15.6
2022-05-23,61485002,15.6
2022-05-23,61491002,15.6
2022-05-23,62054001,14.7
2022-05-23,62076002,14.9
2022-05-23,62160001,15.2
2022-05-23,62548002,15.1
2022-05-23,62826001,15.2
2022-05-23,72086001,15.2
2022-05-23,72172003,15.6
2022-05-23,72175002,15.4
2022-05-23,72181001,15.5
2022-05-23,72255001,15.6
2022-05-23,72264001,15.6
2022-05-23,72284001,15.0
2022-05-23,72361001,15.6
2022-05-23,76116001,15.6
2022-05-23,76130001,15.6
2022-05-23,76171001,15.6
2022-05-23,76208001,15.6
2022-05-23,76217001,15.4
2022-05-23,76228001,15.6
2022-05-23,76473001,15.6
2022-05-23,76481001,15.6
2022-05-23,76552001,15.6
2022-05-23,76746001,15.5
2022-05-23,78140001,15.3
2022-05-23,78354001,15.6
2022-05-23,78465001,15.6
2022-05-23,78562001,15.5
2022-05-23,79049004,15.6
2022-05-23,79079013,15.4
2022-05-23,79134001,15.5
2022-05-23,79191005,15.5
2022-05-23,79202003,15.4
2022-05-23,79215001,15.6
2022-05-23,79270003,15.5
2022-05-23,79309001,14.5
2022-05-23,79320002,15.1
2022-05-23,79326004,15.3
2022-05-23,79329001,15.6
2022-05-23,80001001,15.1
2022-05-23,80182003,15.2
2022-05-23,80606002,15.1
2022-05-23,85060002,15.0
2022-05-23,85092004,15.0
2022-05-23,85097001,15.5
2022-05-23,85104001,15.4
2022-05-23,85113001,15.6
2022-05-23,85152001,15.4
2022-05-23,85153002,15.5
2022-05-23,85163001,15.6
2022-05-23,85169002,15.6
2022-05-23,85172001,15.6
2022-05-23,85182004,14.1
2022-05-23,85191003,15.1
2022-05-23,85215002,15.1
2022-05-23,85216001,15.2
2022-05-23,86009001,15.6
2022-05-23,86021002,15.1
2022-05-23,86027001,15.3
2022-05-23,86039001,14.1
2022-05-23,86097001,15.5
2022-05-23,86137003,15.4
2022-05-23,86165005,15.6
2022-05-23,86272002,15.6
2022-05-23,91200002,15.6
2022-05-23,95690001,15.6
2022-05-24,14066001,15.7
2022-05-24,14126001,15.7
2022-05-24,14137001,15.7
2022-05-24,14216001,15.6
2022-05-24,14296001,14.8
2022-05-24,14357002,14.9
2022-05-24,14366002,15.7
2022-05-24,14372001,15.7
2022-05-24,14501002,15.3
2022-05-24,14577003,15.7
2022-05-24,14578001,15.7
2022-05-24,14624001,15.7
2022-05-24,14659001,15.7
2022-05-24,14762004,14.7
2022-05-24,17218001,15.7
2022-05-24,22005003,15.7
2022-05-24,22092001,15.7
2022-05-24,22108001,15.7
2022-05-24,22113006,15.7
2022-05-24,22147006,15.7
2022-05-24,22168001,15.7
2022-05-24,22219003,15.7
2022-05-24,22247002,15.7
2022-05-24,22261002,15.7
2022-05-24,22266001,15.7
2022-05-24,22282001,15.7
2022-05-24,22372001,15.6
2022-05-24,23089001,15.7
2022-05-24,27056003,15.7
2022-05-24,27100001,15.7
2022-05-24,27347001,15.7
2022-05-24,27422001,15.3
2022-05-24,28002001,15.7
2022-05-24,28041001,15.6
2022-05-24,28064002,15.7
2022-05-24,28070001,15.7
2022-05-24,28078001,15.7
2022-05-24,28190001,15.7
2022-05-24,28196003,15.7
2022-05-24,28198001,15.7
2022-05-24,28206001,15.7
2022-05-24,28214003,15.7
2022-05-24,28215001,15.7
2022-05-24,28239002,15.6
2022-05-24,28252002,15.7
2022-05-24,28305001,15.7
2022-05-24,28380003,15.7
2022-05-24,28406001,15.7
2022-05-24,28407001,15.5
2022-05-24,29075001,15.7
2022-05-24,29113001,15.6
2022-05-24,29120001,15.7
2022-05-24,29151004,15.6
2022-05-24,29155005,15.7
2022-05-24,29155008,15.5
2022-05-24,29163003,15.7
2022-05-24,29178001,15.7
2022-05-24,29214001,15.7
2022-05-24,29216001,15.7
2022-05-24,29249002,15.6
2022-05-24,29263002,15.7
2022-05-24,29264001,15.7
2022-05-24,29276001,15.7
2022-05-24,29277001,15.7
2022-05-24,29293001,15.7
2022-05-24,35005001,15.7
2022-05-24,35057003,15.7
2022-05-24,35110003,15.3
2022-05-24,35162003,15.6
2022-05-24,35202001,15.3
2022-05-24,35228001,15.7
2022-05-24,35238003,15.3
2022-05-24,35281001,15.7
2022-05-24,36006004,15.1
2022-05-24,36018004,15.6
2022-05-24,36035002,15.3
2022-05-24,36037001,15.7
2022-05-24,36063001,15.7
2022-05-24,36085001,15.7
2022-05-24,36088004,15.7
2022-05-24,36089003,15.6
2022-05-24,36093002,15.6
2022-05-24,36107001,15.7
2022-05-24,36127002,15.7
2022-05-24,36128001,15.7
2022-05-24,36136001,15.7
2022-05-24,36146001,15.6
2022-05-24,36173002,15.2
2022-05-24,36219001,15.2
2022-05-24,37003004,15.7
2022-05-24,37023002,15.7
2022-05-24,37055002,15.7
2022-05-24,37067003,15.7
2022-05-24,37072002,15.2
2022-05-24,37107001,15.4
2022-05-24,37109001,15.7
2022-05-24,37122003,15.7
2022-05-24,37129002,15.7
2022-05-24,37179001,15.7
2022-05-24,37192001,15.7
2022-05-24,37213003,15.7
2022-05-24,37213004,15.7
2022-05-24,37216002,15.7
2022-05-24,37240001,15.7
2022-05-24,37242002,15.7
2022-05-24,37249001,15.6
2022-05-24,37253001,15.7
2022-05-24,41053001,15.7
2022-05-24,41152001,15.7
2022-05-24,41173003,15.7
2022-05-24,41281001,15.7
2022-05-24,44020001,14.9
2022-05-24,44069002,15.7
2022-05-24,44103001,15.7
2022-05-24,44110002,15.7
2022-05-24,44117002,15.0
2022-05-24,44181001,15.7
2022-05-24,45055001,15.7
2022-05-24,49008001,15.7
2022-05-24,49020001,15.7
2022-05-24,49099003,15.7
2022-05-24,49138001,15.5
2022-05-24,49173001,15.7
2022-05-24,49188001,15.7
2022-05-24,49191001,15.7
2022-05-24,49248003,15.7
2022-05-24,49331003,15.6
2022-05-24,50020001,14.6
2022-05-24,50111001,15.7
2022-05-24,50209001,15.6
2022-05-24,50215002,15.7
2022-05-24,50277001,15.7
2022-05-24,50410003,15.7
2022-05-24,50484002,15.6
2022-05-24,50509002,15.7
2022-05-24,50514001,15.0
2022-05-24,50615001,15.7
2022-05-24,53083001,15.7
2022-05-24,53096004,15.4
2022-05-24,53110002,15.7
2022-05-24,53116003,15.7
2022-05-24,53130008,14.7
2022-05-24,53159002,15.7
2022-05-24,53185001,15.0
2022-05-24,56004001,15.7
2022-05-24,56007001,14.9
2022-05-24,56009001,15.7
2022-05-24,56017003,15.4
2022-05-24,56069001,15.6
2022-05-24,56127001,15.7
2022-05-24,56137001,15.2
2022-05-24,56151001,15.7
2022-05-24,56159001,15.5
2022-05-24,56165003,15.7
2022-05-24,56166005,15.7
2022-05-24,56185001,15.5
2022-05-24,56240003,15.7
2022-05-24,56243001,15.7
2022-05-24,60322001,15.7
2022-05-24,60566001,15.7
2022-05-24,61001001,15.7
2022-05-24,61006005,15.6
2022-05-24,61169003,14.9
2022-05-24,61179001,14.7
2022-05-24,61214002,15.7
2022-05-24,61275001,15.7
2022-05-24,61387001,15.7
2022-05-24,61404001,15.7
2022-05-24,61426001,15.7
2022-05-24,61485002,15.7
2022-05-24,61491002,15.7
2022-05-24,62054001,15.7
2022-05-24,62076002,14.9
2022-05-24,62160001,14.4
2022-05-24,62548002,15.3
2022-05-24,62826001,14.8
2022-05-24,72086001,15.7
2022-05-24,72172003,15.7
2022-05-24,72175002,15.7
2022-05-24,72181001,15.7
2022-05-24,72255001,15.7
2022-05-24,72264001,15.7
2022-05-24,72284001,15.7
2022-05-24,72361001,15.7
2022-05-24,76116001,15.5
2022-05-24,76130001,14.0
2022-05-24,76171001,15.7
2022-05-24,76208001,15.7
2022-05-24,76217001,13.9
2022-05-24,76228001,15.7
2022-05-24,76473001,15.5
2022-05-24,76481001,15.7
2022-05-24,76552001,15.7
2022-05-24,76746001,15.6
2022-05-24,78140001,15.7
2022-05-24,78354001,15.7
2022-05-24,78465001,15.6
2022-05-24,78562001,15.7
2022-05-24,79049004,15.7
2022-05-24,79079013,15.7
2022-05-24,79134001,15.7
2022-05-24,79191005,15.7
2022-05-24,79202003,15.7
2022-05-24,79215001,15.7
2022-05-24,79270003,15.4
2022-05-24,79309001,15.7
2022-05-24,79320002,15.7
2022-05-24,79326004,14.9
2022-05-24,79329001,15.7
2022-05-24,80001001,13.9
2022-05-24,80182003,14.4
2022-05-24,80606002,14.3
2022-05-24,85060002,15.7
2022-05-24,85092004,15.7
2022-05-24,85097001,15.7
2022-05-24,85104001,15.7
2022-05-24,85113001,15.7
2022-05-24,85152001,15.7
2022-05-24,85153002,15.7
2022-05-24,85163001,15.7
2022-05-24,85169002,15.7
2022-05-24,85172001,15.7
2022-05-24,85182004,15.7
2022-05-24,85191003,15.5
2022-05-24,85215002,15.7
2022-05-24,85216001,15.7
2022-05-24,86009001,15.3
2022-05-24,86021002,15.2
2022-05-24,86027001,15.7
2022-05-24,86039001,15.7
2022-05-24,86097001,15.6
2022-05-24,86137003,15.7
2022-05-24,86165005,15.3
2022-05-24,86272002,15.3
2022-05-24,91200002,15.7
2022-05-24,95690001,15.7
2022-05-25,14066001,14.6
2022-05-25,14126001,15.6
2022-05-25,14137001,15.6
2022-05-25,14216001,15.1
2022-05-25,14296001,14.1
2022-05-25,14357002,15.5
2022-05-25,14366002,15.3
2022-05-25,14372001,15.3
2022-05-25,14501002,15.3
2022-05-25,14577003,15.6
2022-05-25,14578001,15.5
2022-05-25,14624001,14.9
2022-05-25,14659001,15.7
2022-05-25,14762004,15.0
2022-05-25,17218001,13.6
2022-05-25,22005003,15.7
2022-05-25,22092001,15.7
2022-05-25,22108001,15.4
2022-05-25,22113006,15.7
2022-05-25,22147006,14.9
2022-05-25,22168001,15.7
2022-05-25,22219003,15.7
2022-05-25,22247002,15.7
2022-05-25,22261002,15.7
2022-05-25,22266001,15.7
2022-05-25,22282001,15.7
2022-05-25,22372001,15.6
2022-05-25,23089001,15.1
2022-05-25,27056003,14.8
2022-05-25,27100001,15.2
2022-05-25,27347001,13.0
2022-05-25,27422001,12.6
2022-05-25,28002001,14.8
2022-05-25,28041001,14.8
2022-05-25,28064002,12.7
2022-05-25,28070001,14.1
2022-05-25,28078001,14.8
2022-05-25,28190001,14.4
2022-05-25,28196003,14.7
2022-05-25,28198001,15.0
2022-05-25,28206001,13.9
2022-05-25,28214003,12.8
2022-05-25,28215001,13.8
2022-05-25,28239002,13.9
2022-05-25,28252002,14.7
2022-05-25,28305001,14.9
2022-05-25,28380003,14.6
2022-05-25,28406001,15.7
2022-05-25,28407001,14.5
2022-05-25,29075001,15.7
2022-05-25,29113001,15.7
2022-05-25,29120001,15.7
2022-05-25,29151004,15.7
2022-05-25,29155005,15.7
2022-05-25,29155008,15.7
2022-05-25,29163003,10.2
2022-05-25,29178001,15.7
2022-05-25,29214001,14.8
2022-05-25,29216001,15.0
2022-05-25,29249002,15.5
2022-05-25,29263002,15.7
2022-05-25,29264001,15.7
2022-05-25,29276001,15.7
2022-05-25,29277001,15.7
2022-05-25,29293001,15.7
2022-05-25,35005001,15.7
2022-05-25,35057003,15.7
2022-05-25,35110003,14.8
2022-05-25,35162003,11.9
2022-05-25,35202001,15.7
2022-05-25,35228001,15.7
2022-05-25,35238003,15.6
2022-05-25,35281001,15.3
2022-05-25,36006004,15.7
2022-05-25,36018004,15.7
2022-05-25,36035002,15.7
2022-05-25,36037001,15.7
2022-05-25,36063001,15.7
2022-05-25,36085001,15.7
2022-05-25,36088004,13.1
